,Nom_Barri,Nom_Districte,Latitud,Longitud,Nom_Local
64603,Horta,Horta-Guinardó,41.440914774,2.161002159,LA SALLE HORTA - EDUCACIO INFANTIL
64628,la Verneda i la Pau,Sant Martí,41.42290858,2.199212909,ESCOLA BRESSOL LA VERNEDA DE SANT MARTI
64649,el Bon Pastor,Sant Andreu,41.438914109,2.202631384,ESCOLA BRESSOL LES 4 TORRES
65194,Canyelles,Nou Barris,41.443600996,2.167367041,ESCOLA BRESSOL EL VENT
65294,Canyelles,Nou Barris,41.444553011,2.167983949,ESCOLA BRESSOL NENES I NENS
65386,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,41.41474744,2.136485428,ESCOLA BRESSOL EL TRAMVIA BLAU
65400,el Poblenou,Sant Martí,41.401430964,2.206768692,LLAR D'INFANTS KITOWI
65483,el Poblenou,Sant Martí,41.400815316,2.206951082,ESCOLA BRESSOL EL XALET DE LA PAPERERA
65986,el Fort Pienc,Eixample,41.395449278,2.18226403,ESCOLA BRESSOL EL TREN DE FORT PIENC
66066,Montbau,Horta-Guinardó,41.435875795,2.144037187,ESCOLA BRESSOL L'ARBOÇ
66078,la Trinitat Vella,Sant Andreu,41.45074227,2.193239629,ESCOLA BRESSOL EL TREN
66084,les Corts,Les Corts,41.387771674,2.132043689,ESCOLLA BRESSOL XIROI
